"X","Year","Day","Daily.Rainfall.Kausani","Month","Date"
"158","1989",3,"0","06",1989-06-03
"159","1989",4,"33.4","06",1989-06-04
"160","1989",5,"4.2","06",1989-06-05
"161","1989",6,"0.2","06",1989-06-06
"162","1989",7,"0","06",1989-06-07
"163","1989",8,"0","06",1989-06-08
"164","1989",9,"0","06",1989-06-09
"165","1989",10,"14","06",1989-06-10
"166","1989",11,"0","06",1989-06-11
"167","1989",12,"0","06",1989-06-12
"168","1989",13,"6.4","06",1989-06-13
"169","1989",14,"0.8","06",1989-06-14
"170","1989",15,"0","06",1989-06-15
"171","1989",16,"1.2","06",1989-06-16
"172","1989",17,"0","06",1989-06-17
"173","1989",18,"0","06",1989-06-18
"174","1989",19,"2","06",1989-06-19
"175","1989",20,"7","06",1989-06-20
"176","1989",21,"10.8","06",1989-06-21
"177","1989",22,"4.6","06",1989-06-22
"178","1989",23,"11.4","06",1989-06-23
"179","1989",24,"5","06",1989-06-24
"180","1989",25,"0.4","06",1989-06-25
"181","1989",26,"20","06",1989-06-26
"182","1989",27,"0.8","06",1989-06-27
"183","1989",28,"1.2","06",1989-06-28
"184","1989",29,"0","06",1989-06-29
"185","1989",30,"0","06",1989-06-30
"187","1989",1,"0.2","07",1989-07-01
"188","1989",2,"0","07",1989-07-02
"189","1989",3,"0","07",1989-07-03
"190","1989",4,"0","07",1989-07-04
"191","1989",5,"0","07",1989-07-05
"192","1989",6,"0","07",1989-07-06
"193","1989",7,"3","07",1989-07-07
"194","1989",8,"10.8","07",1989-07-08
"195","1989",9,"16.4","07",1989-07-09
"196","1989",10,"0.2","07",1989-07-10
"197","1989",11,"0.8","07",1989-07-11
"198","1989",12,"49.2","07",1989-07-12
"199","1989",13,"5.2","07",1989-07-13
"200","1989",14,"23.8","07",1989-07-14
"201","1989",15,"9.8","07",1989-07-15
"202","1989",16,"2.8","07",1989-07-16
"203","1989",17,"0","07",1989-07-17
"204","1989",18,"0","07",1989-07-18
"205","1989",19,"0","07",1989-07-19
"206","1989",20,"19.2","07",1989-07-20
"207","1989",21,"2.4","07",1989-07-21
"208","1989",22,"0","07",1989-07-22
"209","1989",23,"18.8","07",1989-07-23
"210","1989",24,"0","07",1989-07-24
"211","1989",25,"0","07",1989-07-25
"212","1989",26,"2","07",1989-07-26
"213","1989",27,"0.2","07",1989-07-27
"214","1989",28,"20","07",1989-07-28
"215","1989",29,"26.4","07",1989-07-29
"216","1989",30,"9.4","07",1989-07-30
"217","1989",31,"0","07",1989-07-31
"218","1989",1,"0","08",1989-08-01
"219","1989",2,"1","08",1989-08-02
"220","1989",3,"1","08",1989-08-03
"221","1989",4,"0","08",1989-08-04
"222","1989",5,"0","08",1989-08-05
"223","1989",6,"1","08",1989-08-06
"224","1989",7,"0","08",1989-08-07
"225","1989",8,"20","08",1989-08-08
"226","1989",9,"0.2","08",1989-08-09
"227","1989",10,"0","08",1989-08-10
"228","1989",11,"0","08",1989-08-11
"229","1989",12,"0","08",1989-08-12
"230","1989",13,"2.2","08",1989-08-13
"231","1989",14,"0.2","08",1989-08-14
"232","1989",15,"5.6","08",1989-08-15
"233","1989",16,"7.4","08",1989-08-16
"234","1989",17,"2.8","08",1989-08-17
"235","1989",18,"5","08",1989-08-18
"236","1989",19,"8.6","08",1989-08-19
"237","1989",20,"13","08",1989-08-20
"238","1989",21,"17","08",1989-08-21
"239","1989",22,"18.8","08",1989-08-22
"240","1989",23,"0.4","08",1989-08-23
"241","1989",24,"25.6","08",1989-08-24
"242","1989",25,"4","08",1989-08-25
"243","1989",26,"25","08",1989-08-26
"244","1989",27,"31.4","08",1989-08-27
"245","1989",28,"46.8","08",1989-08-28
"246","1989",29,"0.2","08",1989-08-29
"247","1989",30,"1.8","08",1989-08-30
"248","1989",31,"10.4","08",1989-08-31
"249","1989",1,"23.2","09",1989-09-01
"250","1989",2,"18","09",1989-09-02
"251","1989",3,"0","09",1989-09-03
"252","1989",4,"0","09",1989-09-04
"253","1989",5,"0","09",1989-09-05
"254","1989",6,"0","09",1989-09-06
"255","1989",7,"0","09",1989-09-07
"256","1989",8,"0","09",1989-09-08
"257","1989",9,"0","09",1989-09-09
"258","1989",10,"1.6","09",1989-09-10
"259","1989",11,"0.8","09",1989-09-11
"260","1989",12,"1.6","09",1989-09-12
"261","1989",13,"0","09",1989-09-13
"262","1989",14,"11.4","09",1989-09-14
"263","1989",15,"8.6","09",1989-09-15
"264","1989",16,"0","09",1989-09-16
"265","1989",17,"6.2","09",1989-09-17
"266","1989",18,"0","09",1989-09-18
"267","1989",19,"0","09",1989-09-19
"268","1989",20,"0","09",1989-09-20
"269","1989",21,"2.2","09",1989-09-21
"270","1989",22,"0.2","09",1989-09-22
"271","1989",23,"0","09",1989-09-23
"272","1989",24,"0","09",1989-09-24
"273","1989",25,"0.2","09",1989-09-25
"274","1989",26,"3.4","09",1989-09-26
"275","1989",27,"0","09",1989-09-27
"276","1989",28,"0","09",1989-09-28
"277","1989",29,"0","09",1989-09-29
"278","1989",30,"0","09",1989-09-30
"280","1989",1,"0","10",1989-10-01
"281","1989",2,"0","10",1989-10-02
"282","1989",3,"0","10",1989-10-03
"283","1989",4,"1","10",1989-10-04
"284","1989",5,"0.2","10",1989-10-05
"285","1989",6,"0","10",1989-10-06
"286","1989",7,"3.2","10",1989-10-07
"287","1989",8,"0","10",1989-10-08
"288","1989",9,"0","10",1989-10-09
"289","1989",10,"0.2","10",1989-10-10
"290","1989",11,"0","10",1989-10-11
"291","1989",12,"0","10",1989-10-12
"292","1989",13,"0","10",1989-10-13
"293","1989",14,"0","10",1989-10-14
"294","1989",15,"0","10",1989-10-15
"295","1989",16,"0","10",1989-10-16
"296","1989",17,"0","10",1989-10-17
"297","1989",18,"0","10",1989-10-18
"298","1989",19,"0","10",1989-10-19
"299","1989",20,"0","10",1989-10-20
"300","1989",21,"0","10",1989-10-21
"301","1989",22,"0","10",1989-10-22
"302","1989",23,"0","10",1989-10-23
"303","1989",24,"0","10",1989-10-24
"304","1989",25,"0","10",1989-10-25
"305","1989",26,"0","10",1989-10-26
"306","1989",27,"0","10",1989-10-27
"307","1989",28,"0","10",1989-10-28
"308","1989",29,"0","10",1989-10-29
"309","1989",30,"0","10",1989-10-30
"310","1989",31,"0","10",1989-10-31
"311","1989",1,"0","11",1989-11-01
"312","1989",2,"0","11",1989-11-02
"313","1989",3,"0","11",1989-11-03
"314","1989",4,"5.4","11",1989-11-04
"315","1989",5,"1.4","11",1989-11-05
"316","1989",6,"0","11",1989-11-06
"317","1989",7,"0","11",1989-11-07
"318","1989",8,"0","11",1989-11-08
"319","1989",9,"0","11",1989-11-09
"320","1989",10,"0","11",1989-11-10
"321","1989",11,"0","11",1989-11-11
"322","1989",12,"0","11",1989-11-12
"323","1989",13,"0","11",1989-11-13
"324","1989",14,"0","11",1989-11-14
"325","1989",15,"0","11",1989-11-15
"326","1989",16,"0","11",1989-11-16
"327","1989",17,"0","11",1989-11-17
"328","1989",18,"0","11",1989-11-18
"329","1989",19,"0","11",1989-11-19
"330","1989",20,"0","11",1989-11-20
"331","1989",21,"0","11",1989-11-21
"332","1989",22,"0","11",1989-11-22
"333","1989",23,"0","11",1989-11-23
"334","1989",24,"6","11",1989-11-24
"335","1989",25,"0.6","11",1989-11-25
"336","1989",26,"0","11",1989-11-26
"337","1989",27,"0","11",1989-11-27
"338","1989",28,"0","11",1989-11-28
"339","1989",29,"0","11",1989-11-29
"340","1989",30,"0","11",1989-11-30
"342","1989",1,"0","12",1989-12-01
"343","1989",2,"0","12",1989-12-02
"344","1989",3,"0","12",1989-12-03
"345","1989",4,"0","12",1989-12-04
"346","1989",5,"0","12",1989-12-05
"347","1989",6,"0","12",1989-12-06
"348","1989",7,"0","12",1989-12-07
"349","1989",8,"0","12",1989-12-08
"350","1989",9,"0","12",1989-12-09
"351","1989",10,"0","12",1989-12-10
"352","1989",11,"0","12",1989-12-11
"353","1989",12,"0","12",1989-12-12
"354","1989",13,"0","12",1989-12-13
"355","1989",14,"0","12",1989-12-14
"356","1989",15,"0","12",1989-12-15
"357","1989",16,"0","12",1989-12-16
"358","1989",17,"0","12",1989-12-17
"359","1989",18,"0","12",1989-12-18
"360","1989",19,"1","12",1989-12-19
"361","1989",20,"6","12",1989-12-20
"362","1989",21,"4","12",1989-12-21
"363","1989",22,"0.8","12",1989-12-22
"364","1989",23,"3.4","12",1989-12-23
"365","1989",24,"1.4","12",1989-12-24
"366","1989",25,"0","12",1989-12-25
"367","1989",26,"0","12",1989-12-26
"368","1989",27,"0","12",1989-12-27
"369","1989",28,"0","12",1989-12-28
"370","1989",29,"0","12",1989-12-29
"371","1989",30,"0","12",1989-12-30
"372","1989",31,"0","12",1989-12-31
